index,airport,year,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,index,Airport,Year,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,index,Key,LocID,AP_NAME,ALIAS,Facility Type,FAA REGION,COUNTY,CITY,STATE,AP Type,Latitude,Longitude,Boundary Data Available
510,OGG,2008,32036,29420,0.8755,0.8593,0.8606,9.61,7.79,1.56,10.54,1.86,0.93,3.52,8.6,499,OGG,2008,287,258,24,22,20,976,OGG,KAHULUI,Kahului Airport,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
509,OGG,2007,37476,35402,0.8871,0.8836,0.8719,7.57,7.52,1.04,7.9,2.63,0.62,3.15,7.89,498,OGG,2007,223,190,10,16,20,976,OGG,KAHULUI,Kahului Airport,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
508,OGG,2006,37108,37218,0.882,0.8807,0.8596,6.69,7.75,1.05,6.89,2.9,0.82,3.7,8.01,497,OGG,2006,292,257,22,18,20,976,OGG,KAHULUI,Kahului Airport,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
507,OGG,2005,35626,36108,0.8639,0.8669,0.8337,7.89,8.28,0.76,7.78,3.52,1.26,4.21,9.85,496,OGG,2005,42,24,16,16,20,976,OGG,KAHULUI,Kahului Airport,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
506,OGG,2004,8355,8424,0.8645,0.8773,0.847,8.23,7.85,0.46,7.71,4.59,0.54,3.37,9.78,495,OGG,2004,63,45,33,16,20,976,OGG,KAHULUI,Kahului Airport,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
263,HNL,2014,90752,88621,0.8882,0.86,0.8577,6.45,13.52,2.31,7.84,1.91,1.17,3.5,8.22,252,HNL,2014,179,166,64,78,24,975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
262,HNL,2013,87945,87896,0.8734,0.8479,0.8504,7.96,13.32,2.27,9.3,1.64,1.3,3.28,9.23,251,HNL,2013,448,457,57,52,24,975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
261,HNL,2012,88261,88228,0.8791,0.8523,0.8629,7.32,13,2.24,8.67,1.49,1.32,3.22,8,250,HNL,2012,258,269,55,62,24,975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
260,HNL,2011,83128,83426,0.8815,0.8611,0.8678,7,12.66,1.96,8.09,1.79,1.09,3.35,7.99,249,HNL,2011,369,361,56,54,24,975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
259,HNL,2010,83392,83811,0.8789,0.8535,0.8461,6.95,12.65,2.26,8.28,1.99,1.62,4.37,8.91,248,HNL,2010,225,214,70,70,24,975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
